study_hours_per_day,attendance,assignments_completed,midterm_score,previous_sgpa,daily_screen_time,social_media_usage,class_participation,sleep_hours,stress_level,physical_activity,internet_quality,study_environment,fatigue_score,gender,sgpa
1.1,88,9,83.12,9.74,5.57,0.71,4,8.69,Low,4.43,4,2,5.05,M,4.76
2.23,57,7,72.83,7.09,4.9,3.25,4,4.72,2,4.77,2,2,7.47,M,4
9.1, 61.4 %,0,66.81,9.32,1.45,0.66,3,8.45,,1.66,4,3,5.84,Male,
8.87, 94.1 %,4,88.59,6.28,5.35,3.83,9,4.62,5,2.24,1,3,8.32,Male,5.19
6.38, 51.0 %,1,54.61,,6.7,,,7.25,HIGH,2.68,4,4,7.95,male,
6.4, 87.6 %,5,92.99,9.22,7.95,0.86,10,5.6,high,4.22,2,3,9.78,female,5.08
6.99,74,8,73.66,9.6,1.21,4.58,2,5.58,low,0.89,1,1,1.94,female,5.74
2.58,,4,,7.43,5.62,2.85,3,8.99,4,5.2,1,3,4.07,male,
9.23,50.4%,3,92.5,8.2,3.9,4.57,10,5.13,HIGH,2.42,2,2,2.73,M,6.23
4.77,91,1,89.05,5.01,1.07,4.56,7,5.01,Low,,5,2,6.68,female,4
4.45,68.0%,2,76.09,6.27,5.3,1.39,5,6.95,low,6.53,2,3,6.98,male,4.19
5.67,77,5,85.19,6.39,1.86,2.21,1,7.7,2,6.09,2,1,2.83,male,4.02
1.42,83.9%,7,66,5.47,3.65,1.11,1,8.91,high,5.16,3,4,4.79,female,4
2.5,,7,72.84,,2.83,3.99,,7.51,low,1.35,1,2,6.42,Male,
7.64,97.8%,4,43.72,6.61,3.53,2.77,6,6.81,2,5.12,3,5,6.93,,4
, 76.6 %,4,45.39,9.84,4.45,4.68,4,6.05,1,4.45,3,4,1.92,M,
6.43, 70.0 %,9,89.77,8.34,3.51,1.44,3,6.98,,5.41,,5,9.29,Female,
3.21,97.7%,2,43.58,7.13,4.87,3.6,9,7,2,6.08,4,5,1.31,female,4
4.5,82,6,50.16,9.94,2.67,4.95,9,5.09,low,2.18,2,5,9.76,Male,4.18
3.6,64.9%,5,87.75,5.77,5.45,3.49,4,7.36,5,4.51,3,2,3.85,Female,4.45
4.2,56.3%,0,40.07,7.38,6.98,,8,5.02,low,1.93,4,2,3.85,male,4
7.47, 92.1 %,3,56.94,8.24,,,4,6.45,medium,2.42,4,5,5.01,M,
3.67,68,5,75.04,5.28,4.56,1.31,8,5.3,4,3.64,1,5,7.25,male,4
6.1, 83.0 %,10,75.73,8.58,5.54,0.64,7,5.56,2,3.04,2,4,2.44,F,5.95
5.28,73.5%,5,86.63,5.5,,2.01,6,7.07,3,4.2,5,2,3.29,,
6.97, 59.9 %,10,70.36,5.7,,1.7,7,4.32,medium,5.31,2,5,9.65,male,
9.43,,2,70.56,5.8,5.5,4.05,6,4.06,low,4.24,4,1,8.89,female,4.81
7.59,53.0%,5,83.52,9.64,,2.18,6,4.65,2,6.79,2,2,2.91,M,
2.93,,9,69.92,8.42,3.59,3.8,7,4.84,4,5.17,1,2,6.16,Male,4.51
1.28, 77.3 %,5,76.51,8.28,4.73,0.57,4,4.99,1,6.9,2,1,2.83,female,4
3.36,72,8,93.87,7.78,1.14,0.57,5,7.87,,5.2,4,5,5.95,male,
6.36,87,8,64.09,6.46,4.55,0.63,9,6.23,Low,3.56,4,3,4.29,Female,5.06
1.46,91,1,63.11,8.1,5.58,,2,6.35,medium,2.88,3,2,4.26,,4
5.47,89,3,40.21,7.05,6.31,2.18,9,7.22,3,5.15,4,5,6.72,male,4
6.37,52,8,76.81,5.73,1.79,3.24,5,7.65,5,4.81,,1,3.27,M,4.07
4.01,59.7%,3,41.79,8.45,7.93,4.94,10,4.02,HIGH,4.68,4,1,4.64,F,4
7.94,76.8%,7,,5.65,5.24,2.09,1,8.28,Low,5.05,2,2,9.33,male,
1.96,97,9,88.25,5.95,3.54,0.75,7,8.94,medium,6.11,5,1,7.8,male,4
1.68,92,2,73,9.09,2.74,1.38,5,4.61,high,1.59,4,1,4.45,female,4
7.55,92.1%,2,56.18,8.3,5.01,,3,7.26,1,3.95,1,5,3.07,male,4.71
5.46,65.2%,8,87.17,8.15,7.17,3.65,3,4.01,Low,4.22,1,1,6.93,female,4.71
7.2,71,10,,7.09,4.64,4.06,1,4.25,5,2.05,1,3,8.27,,
4.91,74,9,83.98,6.98,5.63,1.06,7,5.43,Low,6.92,1,5,8.75,M,4.41
3.22,57.9%,7,76.62,8.45,3.5,1.11,2,8.23,low,5.5,2,5,6.08,,4.06
8.37, 51.6 %,0,50.2,8.7,3.72,1.01,,7.26,low,2.25,3,2,5.65,M,4
8.19, 97.3 %,9,94.31,7.55,3,4.36,4,6.23,1,2.51,5,5,7.48,M,6.03
7.25,,1,52.04,9.85,5.94,1.44,4,6.19,Low,5.03,3,2,2.58,female,4
3.45,62.0%,2,99.38,9.78,3.51,3.39,5,6.33,2,0.08,3,1,8.67,male,4.6
6.31,54.2%,10,40.44,7.06,2.34,2.82,9,5.56,3,3.25,3,4,1.67,Female,4.76
4.25,96.4%,1,55.81,9.1,3.59,2.95,7,8.39,5,2.4,2,3,6.43,M,4
1.82, 79.0 %,2,51.99,7.72,,,3,6.84,4,5.98,5,3,6.31,female,
9.26,83,7,40.84,7.56,6.17,3.36,4,,high,5.54,4,1,,Female,5.36
2.23,95.6%,,83.94,5.27,3.34,0.69,9,6.33,low,2.32,4,4,1.32,male,
9.55,67.3%,10,81.61,7.87,7.35,4.97,1,8.68,3,6.05,5,5,7.46,female,6.33
5.01,81.1%,5,87.54,9.5,1.52,0.62,8,7.62,3,6.4,5,4,1.22,M,5.98
2.67, 51.9 %,,55.4,8.9,1.35,0.73,8,4.72,3,3.87,1,5,2.62,F,
5.88,59,9,66.66,8.93,1.89,1.96,7,6.18,2,1.11,3,5,5.9,female,5.27
8.86, 91.6 %,9,79.55,5.8,1.82,4.24,6,,1,5.39,1,5,9.46,,5.47
7.59, 88.3 %,5,66.39,6.79,,1.66,7,8.93,Low,2.24,2,4,1.59,F,
8.26, 67.5 %,0,81.84,6.17,5.63,2.62,10,,2,3.69,2,1,6.21,male,4
6.93,68.8%,10,78.04,6.58,5.21,0.58,4,4.34,low,0.32,5,5,3.96,M,5.51
7.23, 76.7 %,2,46.88,7.9,5.53,0.85,4,6.06,2,3.5,2,1,7.02,Female,4.96
8.64,50,0,,6.82,5.82,3.24,5,5.61,,2.66,5,5,9.58,male,
3.25,62,9,83.24,,6.3,1.37,4,7,low,4.8,4,1,3.42,male,
5.4,60,8,79.35,7.19,2.45,,4,5.13,Low,0.29,3,,9.6,Male,4.74
2.99,63,8,49.31,6.43,5.36,4.03,9,4.18,2,4.37,2,1,8.84,male,4
9.89, 90.3 %,,56.08,5.48,5.06,4.33,,4.48,,5.4,1,2,6.46,male,
9.5,64,3,63.59,9.46,7.61,1.1,3,5.42,high,0.09,2,4,7.82,Male,5.65
1.35,60,8,56.8,5.06,2.63,2.55,3,5.74,3,5.25,3,5,8.78,male,4
7.35, 75.2 %,8,53.67,5.01,1.41,4.76,10,8.17,4,0.91,,5,8.23,M,4
9.33,,2,88.32,,5.57,3.97,8,5.35,high,4.89,5,2,3.94,F,
2.63,62.1%,4,78.29,9.98,6.18,1.03,3,4.16,medium,3.19,2,1,8.31,F,4
6.11, 53.9 %,2,73.93,8.64,2.98,2.76,,7.9,4,3.86,,1,3.82,,5.19
, 67.8 %,9,53.56,5.08,5,4.65,,8.34,Low,2.36,4,5,8.8,Male,
1.31,87.4%,1,95.08,6.13,1.42,2.48,9,6.46,HIGH,1.72,2,3,3.3,Male,4
7.28,77.5%,0,51.47,9.86,7.72,4.27,6,5.42,1,0.5,1,5,6.15,male,5.02
3.68, 90.8 %,9,87.7,9.04,,2.73,3,7.86,4,6.05,2,5,7.24,Male,
9.32,98.0%,1,98,7.83,1.47,0.98,6,4.04,1,4.27,5,2,4.83,F,5.41
9.74,90,,83.63,6.18,1.31,1.17,4,8.62,HIGH,6.88,5,1,8.05,M,
9.5, 80.2 %,10,99.57,5.07,3.99,0.71,5,,,5.95,5,4,9.33,Female,
,74.7%,7,79.06,5.1,1.68,1.38,5,6.72,4,6.09,1,5,2.68,male,
8.76,52.0%,2,53.05,8.06,6.21,4.52,3,5.39,2,4.18,4,5,1.3,F,4.57
8.6,99.2%,6,52.23,5.11,7.29,3.43,5,4.16,HIGH,0.57,5,4,6.64,male,4.33
3.87,69.2%,6,59.47,9.97,2.82,,5,9,3,6.39,5,2,6.42,M,4.26
8.46,,,40.43,5.92,5.4,3.3,7,7.81,5,0.83,2,3,4.07,male,
1.33,83.3%,8,80.9,8.55,1.3,2.24,9,5.69,Low,3.62,4,2,8.07,male,4.38
6.37,64.2%,2,56.12,5.78,3.71,1.48,5,4.1,high,6,5,5,8.44,,4.01
3.07,79.3%,1,88.91,7.7,3.05,4.67,9,7.2,1,3.31,,2,3.99,M,4
2.09,79,2,61.55,5.4,2.6,2.82,5,8.93,high,1.16,2,4,7.14,male,4
1.69,72,1,68.8,8.83,5.51,2.66,4,7.54,HIGH,2.61,2,2,6.78,M,4
7.27, 91.8 %,7,97.94,7.92,1.91,4.98,6,4.42,Low,6.92,3,5,4.08,M,4.94
4.06, 63.2 %,4,54.53,5.43,7.02,2.23,8,6.01,1,7,2,4,9.72,F,4
7.52,72,2,83.28,9.24,5.65,4.34,4,4.55,high,4.98,2,4,4.12,Female,4.27
1.59,77,4,85.31,7.74,5.98,4.38,5,8.56,2,6.22,3,5,6.58,female,4
,83.2%,10,53.26,9.61,7.55,1.55,10,5.65,Low,0.31,5,5,4.42,M,
5.86,89.2%,10,70.06,9.58,7.6,0.93,1,7.67,high,1.93,2,5,1.11,F,6.67
8.12,70,7,61.01,9.6,4.86,4.89,10,,4,2.58,1,3,1.82,Male,6.12
3.87, 82.3 %,6,86.31,5.39,4.47,2.42,,4.64,high,0.08,3,5,3.09,Male,4.6
6.63,58,5,77.35,5.6,3.35,0.51,8,7.4,HIGH,2.64,,2,8.31,Female,4
8.97,,0,68.56,9.94,6.01,,7,8.22,high,0.65,5,1,4.98,female,5.3
15.4697051268203,69,9,86.76,7.44,4.77,3.29,5,1.14180111554322,3,3.62,2,3,6.3,male,7.84
3.1,86.5%,0,54.11,6.19,7.53,3.99,9,6.09,medium,0.03,1,3,9.49,Male,4
, 51.0 %,,85.22,8.85,2.67,4.74,1,7.1,Low,1.89,5,1,2.32,M,
8.83,60.3%,9,91.92,6.32,3.17,4.62,3,7.98,Low,6.06,2,2,8.76,Male,6.12
1.19,74,7,92.72,8.64,3.21,4.73,6,7.14,medium,1.49,,3,4.41,Female,4
8.87, 93.9 %,7,87.02,9.19,6.64,,1,4.48,high,0.45,3,3,4.04,female,5.84
5.76, 76.4 %,6,64.48,8.92,1.69,3.7,6,6.71,3,1.75,3,5,6.63,,5.15
9.45, 96.5 %,5,98.91,6.37,4.19,1.52,,8.42,high,5.79,2,,9.09,female,5.92
8.19,,3,62.78,7.01,3.99,1.34,10,8.34,low,4.11,5,3,4.14,F,4.8
9.98,75,0,78.32,7.07,1.51,4.1,5,6.93,3,4.1,2,2,7.85,male,5.15
4.16,56.0%,8,49.66,7.46,3.88,2.38,10,8.98,,0,4,4,1.17,Female,
7.9, 90.1 %,0,98.83,5.84,4.59,4.62,2,4.53,4,3.31,2,1,6.61,Female,4.43
4.62,62.3%,3,82.24,7.26,1.46,0.69,1,6.39,2,1.86,4,3,6.68,Male,4
5.32, 95.0 %,2,85.2,7.55,4.57,4.11,4,7.88,5,2.35,3,2,6,Female,4
6.65,95.5%,6,,7.66,7.71,1.12,2,4.71,2,4.19,1,1,9.44,female,
8.86,97,4,85.81,9.1,7.85,1.29,9,8.86,high,6.12,3,5,9.45,F,5.57
9.86,76.0%,4,86.48,7.59,4.72,2.65,3,5.77,1,1.27,1,5,4.08,female,6.43
7.91,83.9%,3,80.31,6.15,4.61,2.28,9,5.75,medium,5.38,5,4,5.11,M,4.54
4.76,88.9%,0,57.51,8.32,3,2.69,4,5.07,high,0.34,1,1,8.13,M,4.72
4.79,56.6%,,69.38,8.99,7.98,4.73,10,5.44,,2.29,5,4,8.6,F,
7.64,80,3,46.63,6.6,2.92,3.46,7,6.89,low,1.53,4,1,4.76,,4.82
3.15, 51.7 %,9,68.3,8.23,4.17,1.81,7,6.15,HIGH,6.41,5,,4.14,Male,4.78
1.99, 74.9 %,7,54.63,5.73,1.02,1.28,6,4.97,HIGH,1.25,2,5,8.39,male,4
4.19, 57.7 %,1,60.95,6.71,3.44,2.39,8,8.05,2,4.05,2,,4.39,M,4.11
3.59,59,7,49.76,9.55,1.5,2.53,6,4.31,HIGH,1.15,2,5,4.65,M,4.92
3.67,68,0,53.8,9.56,6.21,3.21,9,8.17,HIGH,3.31,3,1,2.22,F,4
3.1,71.6%,3,44.59,7.88,4.93,,5,5.37,HIGH,2.89,2,5,5.89,male,4
1.38,81,2,95.19,,5.01,3.95,3,6.48,1,0.29,5,4,3.94,M,
1.16, 53.7 %,4,71.82,9.27,3.01,0.94,5,5.91,HIGH,5.78,5,4,6.32,Female,4.5
9.89,75,4,63.8,9.79,6.7,3.02,4,,1,5.46,5,,5.03,Male,6
4.85, 59.1 %,4,72.1,7.45,1.02,3.31,3,7.98,1,1.95,2,5,7.73,F,5.24
4.46,79,3,77.7,7.81,3.34,1.43,1,8.95,low,4.3,4,2,3.5,,4.4
7.12,,7,95.31,7.08,5.62,4.22,8,5.53,3,2.54,4,1,2.55,F,5.04
, 77.8 %,2,50.72,5.36,7.36,3.27,4,6.77,medium,5.38,3,5,7.33,Male,
9.55, 86.9 %,3,57.73,7.11,2.64,3.41,3,6.33,5,4.85,5,3,4.46,F,5.2
8.08,67,0,98.55,8.95,4.79,2.74,4,8.99,high,0.63,5,,6.07,male,5.12
1.8,88,6,62.27,9.02,4.77,4.59,1,8.04,Low,5.91,,4,9.47,male,4.08
4.76,,0,41.35,9.46,7.12,3.62,6,5.99,HIGH,1.26,5,2,5.36,female,4
8.91, 74.2 %,1,48.86,5.26,1.35,2.22,3,6.38,5,1.22,1,5,2.37,male,4
9.5,,10,41.58,7.64,3.97,1.57,8,5.23,3,5.14,3,2,4.84,Male,4.92
5.21,51,6,99.4,5.54,2.28,0.82,10,7.78,high,1.28,5,4,5.31,male,4.49
6.52, 82.7 %,0,56.73,6,1.15,1.24,5,8.23,4,0.86,3,2,7.89,F,4
2.5,81,,95.41,9.5,2.03,4.97,9,8.82,5,2.35,1,2,2.76,Male,
9.92, 65.5 %,2,99.75,7.48,7.84,2.33,9,6.83,5,5.87,1,3,4.12,female,4.25
3.09,54,5,75.99,8.79,2.5,4.54,2,7.35,high,1.24,2,1,1.45,female,4
9.48,54.5%,5,,5.32,7.55,1.27,5,6.23,high,2.37,5,4,7.32,Male,
,96.2%,5,44.9,7.08,2.44,2.41,7,7.05,1,2,1,,7.7,female,
6.47,84.5%,10,68.9,8.37,7.52,4.82,7,5.74,1,2.49,1,3,5.11,male,5.36
5.61, 56.4 %,1,64.37,5.67,5.58,,10,7.69,low,5,1,5,5.84,M,4
3.08, 67.8 %,1,76.37,6.63,1.79,,3,4.11,4,2.84,2,5,7.75,Male,4.02
2.59, 79.6 %,5,66.33,5.32,5.07,4.64,7,4.14,low,5.32,5,3,3.41,Female,4
2.98,91.8%,9,96.04,8.26,3.23,4.77,7,7.58,2,4.48,3,5,6.46,Female,5.03
2.68, 52.2 %,4,72.08,9.85,3.68,,4,8.65,4,2.53,2,5,9.68,Female,4
8.02,62,6,81.62,9.14,4.08,4.35,7,7.16,1,,5,2,6.92,M,5.8
4.15, 94.5 %,6,93.79,9.87,3.96,3.43,8,7.63,1,4.93,1,2,1.7,M,4.94
1.52,,4,48.81,9.23,5.65,1.49,3,8.12,1,3.74,2,2,3.61,F,4
9.72,60.1%,7,53.78,9.28,6.38,3.79,2,5.81,medium,6.08,4,,5.67,female,5.33
8.95,98,9,46.44,,3.3,4.9,9,4.54,high,6.53,4,5,1.65,F,
9.35, 80.7 %,5,48.38,7.59,7.47,2.87,7,8.67,5,5.02,,1,7.09,Male,4.6
9.95, 63.1 %,4,70.76,7.03,7.57,1.67,1,8.69,,6.92,5,4,6.89,Female,
2.57,53,3,59.27,,1.28,3.08,10,6.21,5,4.18,5,5,8.89,male,
4.57,51,,65.39,5.91,1.1,3.61,10,,3,0.28,2,3,5.5,Male,
7.82,62.2%,3,98.95,5.28,3.98,1.44,9,8.46,5,3.53,4,,,Male,4.79
7.26, 94.1 %,4,49.4,9.74,5.13,3.74,,7.54,1,,5,4,,M,4.92
2.39,71,4,72.45,5.02,2.95,3.14,2,4.04,4,2.34,2,4,1.03,female,4
8.34, 86.0 %,0,45.93,,2.82,3.26,7,4.54,4,3.43,2,4,2.55,female,
,96,0,59.11,8.64,5.75,1.88,9,8.92,low,2.07,4,1,1.56,Female,
3.01,70.4%,2,71.65,6.64,5.21,1.2,,4.19,HIGH,2.17,1,2,4.85,Female,4
,60,10,96.8,8.49,2.17,3.31,4,5.41,4,2.81,2,2,5.21,Male,
6.34,76,2,63.47,9.09,7.19,3.14,9,6.74,3,,1,2,6.8,female,4.44
6.22,95,1,43.89,6.23,5.76,,2,4.92,4,1.19,4,2,2.27,Male,4
1.82,90,1,63.29,8.85,3.54,1.83,4,5.16,HIGH,5.36,2,5,2.93,male,4.17
8.9,53,5,48.74,9.02,5.79,2.06,5,5.76,HIGH,2.77,3,4,8.18,M,5.14
, 84.6 %,0,53.8,6.25,1.79,2.7,4,5.35,HIGH,5.82,4,4,6.19,female,
2.17,,5,77.09,5.21,4.28,,7,8.02,Low,6.18,,4,1.26,Male,4
9,,4,,,2.18,3.94,6,6.5,Low,5.26,3,3,8.64,F,
9.6,56,5,67.88,6,1.29,4.33,9,5.39,low,2.78,4,2,6.67,M,6.46
8.76,77,4,76.57,5.33,3.37,2.78,4,5.57,Low,5.05,,5,2.68,Female,4.16
8.29, 94.0 %,6,65.31,8.63,2.06,2.87,9,,medium,1.09,3,5,3.27,F,5.02
6.9,71,0,41.15,6.9,5.43,1.42,,4.25,5,4.63,4,3,5.98,male,4
5.96,74,2,99.13,9.42,5.72,3.74,6,7.59,5,2.84,3,3,6.05,Male,5.51
1.78, 53.5 %,5,62.03,6.26,2.04,,7,4.56,low,4.59,3,4,8.25,female,4
4.68,64,0,86.71,7.27,1.17,3.84,9,6.38,1,5.28,4,4,4.23,male,4.35
4.35, 66.2 %,10,59.54,8.2,6.55,2.34,1,8.21,Low,3.94,3,4,,F,4.06
3.34,97.3%,10,68.5,9.39,1.01,0.99,1,5.84,Low,4.5,1,4,6.24,male,5.5
7.51,64,6,63.31,7.62,3.41,1.28,2,5.73,4,1.49,,4,6.03,Male,5.52
,73.0%,3,60.55,6.87,4.46,4.15,6,8.37,,4.15,4,2,1.66,male,
1.73,84,2,41.31,9.34,6.73,1.66,3,8.32,,3.22,1,5,4.7,female,
2.98,58,9,61.6,6.55,6.87,1.69,,8.4,4,3,5,2,4.05,Male,4
7.15,74,8,93.37,5.4,6.07,4.68,2,6.86,Low,2.87,2,5,9.93,M,5.02
1.69,86.9%,0,81.42,7.23,2.73,3.46,10,8.76,low,2.18,3,1,5.19,male,4
,93,7,48.73,8.93,6.04,1.01,6,8.09,1,2.14,3,1,4.92,female,
5.46, 81.3 %,0,75.47,5.15,2.73,1.15,7,6.08,2,4.9,2,1,5.35,F,4
,83.5%,4,93.53,7.93,2.5,1.73,6,7.15,5,3.9,3,5,9.27,Female,
6.33, 56.3 %,9,82,7.97,4.83,3.17,2,4.61,4,0.21,3,3,6.5,female,5.35
8.42, 97.3 %,7,48.92,9.64,5.75,3.89,5,6.76,2,0.34,1,2,4.5,M,5.29
4.13,57,5,92.07,6.43,1.37,1.74,10,5.32,2,3.99,1,3,9.21,M,4.22
7.1,89,6,58.09,,1.42,4.42,6,5.42,5,5.92,1,5,9.37,male,
6.09,63.2%,10,67.24,7.2,6.49,0.99,8,4.63,high,0.31,1,4,3.38,Female,4.37
3.4,96.7%,7,71.57,6.78,7.02,1.43,9,5.79,4,3.55,4,3,4.54,male,4.01
8.91, 86.0 %,,91.03,8.68,5.23,4.87,5,6.41,2,5.96,3,5,9.7,M,
8.18,88,10,95.9,8.21,4,1.11,7,7,HIGH,0.03,2,1,5.87,female,5.85
, 61.0 %,5,95.78,8.79,6.92,4.5,4,5.52,low,1.93,3,4,4.89,Male,
8.66,72,10,40.48,9.1,6.1,3.67,10,7.96,Low,6.44,4,1,2.76,Male,4.97
8.81,,5,95.31,,5.06,0.83,5,6.6,high,,4,3,4.46,female,
,88,4,43.26,7.15,3.24,2.68,1,7.19,5,4.25,3,3,6.68,Female,
8.53,55.2%,7,55.95,9.92,2.39,2.84,3,5.39,5,3.55,3,2,1.35,female,5.55
7.28,98.1%,1,70.9,6.08,3.93,4.69,2,8.07,medium,1.06,1,2,1.75,Female,4
7.12,95,6,68.8,8.57,3.01,2.39,6,,Low,0.3,4,5,,M,5.18
6.57, 63.5 %,3,76.28,7.67,3.37,2.51,9,8.31,medium,3.52,3,3,2.97,male,5.05
7.77,91.1%,0,68.77,9.08,4.61,1.01,10,4.8,high,5.15,2,1,2.65,female,4.95
2.43,76,4,96.06,7.38,2.18,3.38,,5.9,HIGH,1.24,2,2,8.66,M,4
8.93,73,2,54.43,8.92,6.64,1.45,2,4.57,Low,4.84,1,1,2.67,M,4.62
8.85, 65.7 %,3,56.44,9.65,2.02,0.85,2,5.08,high,3.82,1,5,6.95,male,5.31
1.26,79,6,95.24,8.66,4.37,4.99,6,5.97,4,2.5,3,1,2.07,male,4.57
8.43,86.5%,4,44.6,8.88,,1.71,10,8.47,4,4.65,2,1,6.34,F,
2.16,70.5%,3,76.57,5.34,4.4,1.13,6,6.79,3,1.34,4,4,4.92,female,4
4.02, 81.5 %,0,80.9,6.02,3.53,3.65,5,5.65,5,3.2,5,5,4.68,F,4
7.69, 85.0 %,5,70.33,9.87,4.32,4.2,9,7.73,low,3.85,2,2,8.71,female,4.77
2.45,85.6%,10,81.65,8.47,6.94,0.79,7,4.1,high,3.21,4,4,2.51,Male,5.57
8.36, 52.6 %,9,50.37,7.81,7.93,0.97,,5.85,5,2.78,2,3,6.36,M,4.76
8.49,93.0%,5,91.16,6.83,5.42,0.91,1,7,HIGH,5.19,3,3,8.4,Male,5.06
,73,6,48.4,,6.55,0.71,10,6.92,1,4.59,5,2,7.43,female,
1.06, 63.1 %,0,64.05,6.85,1.1,3.47,10,7.04,5,4.48,5,5,,Male,4
3.58,62.1%,3,44.52,7.49,7.16,3.15,2,5.06,medium,,3,3,1.02,Female,4
14.814174012632, 74.2 %,8,72.71,6.06,7.68,3.48,3,2.76847544800597,2,6.95,3,3,8.96,M,6.62
9.83,,9,80.18,5.87,5.03,2.78,5,8.66,3,3.97,1,3,6.52,,5.6
6.69,68.9%,5,96.47,,6.28,4.18,4,8.87,high,2.44,4,5,1.02,Female,
3.34,,1,84.36,7.93,4.59,2.96,8,5.56,medium,5.45,4,3,5.19,female,4.02
6.71,54.8%,3,72.47,6.2,3,4.63,4,7.22,medium,0.99,1,2,7.91,Female,4
5.86,,5,95.96,7.94,6.97,2.69,,,medium,3.59,4,2,2.64,female,4.86
8.02,99.6%,3,68.71,9.5,5.18,4.06,9,5.84,5,3.67,5,2,7.11,male,5.41
1.96, 88.5 %,9,73.67,7.37,5.06,2.33,2,7.96,3,6.88,2,4,,F,4.18
7.85,60.5%,6,75.77,9.29,5.61,,8,,medium,6.94,5,2,8.23,male,5.42
5.87,75,2,64.6,9.64,6.99,4.32,5,8.25,Low,,1,1,6.12,,4
9.67, 61.7 %,5,90.31,5.46,6.12,,10,7.14,4,3.31,4,3,1.3,Male,5.95
4.08,70,3,51.11,5.48,2.48,3.04,6,7.14,Low,3.83,4,2,1.82,male,4
6.69, 89.0 %,2,73.29,7.38,,3.77,3,4.17,HIGH,2.24,2,5,8.77,Male,
9.39,,2,83.33,7.94,7.86,3.88,8,7.75,high,5.81,2,5,1.3,male,5.3
1.92,61,1,94.24,7.13,4.88,3.16,2,8.89,4,5.23,2,5,3.69,male,4
9.44,96,10,93.04,6.63,7.57,2.52,1,6.37,Low,5.4,5,4,6.1,male,6.17
7.19,80,2,70.52,8.2,6.69,1.67,1,4.79,4,0.97,1,5,2.92,Female,4
1.61,69,9,78.59,5.01,,4.59,8,8.88,low,2.79,1,4,3.02,M,
3.71,75.1%,0,63.65,,3.45,2.16,2,5.45,high,3.76,1,3,,Male,
7.37,80,2,68.09,6.16,3.13,4.1,5,6.05,3,0.87,5,1,3.62,male,4
1.61, 78.0 %,8,94.38,9.59,5.5,0.64,2,4.39,HIGH,2.58,3,5,1.35,Female,4.73
6.24,74.3%,3,95.84,5.55,4.03,1.54,4,4.55,high,0.61,,5,7.49,male,4.52
4.11,75,2,93.72,6.19,6.59,2.06,9,5.08,high,6.71,5,4,9.59,M,4
6.59,58.8%,7,48.3,6.17,6.32,3.52,2,,high,5.26,1,,8.49,Male,4.18
1.41, 90.6 %,0,91.01,9.98,3.18,1.94,4,6.79,high,4.35,5,1,5.94,,4
8.84, 77.1 %,4,96.9,5.02,5.92,0.69,10,7.03,low,1.43,5,2,4.82,F,5.45
9.76, 56.6 %,0,61.67,8.2,4.46,1.28,5,6.92,4,2.34,3,4,9.33,F,4.85
9.72,88.3%,6,71.12,9.35,3.26,1.67,10,,2,1.01,2,1,7.9,female,6.66
7.75,96.6%,4,86.75,8.36,3.89,1.29,10,8.01,2,3.75,1,3,6.14,female,4.66
2.17,97,,73.72,6.81,7.27,1.42,5,8.67,5,5.74,5,5,8.92,female,
7.82,68,0,99.61,,3.52,3.96,5,5.35,2,0.13,2,5,6.42,male,
1.22,57,10,67.34,9.47,3.01,2.35,10,4.65,high,0.72,4,1,9.76,Male,4.89
1.2, 75.9 %,6,82.84,7.17,3.46,2.32,10,6.13,medium,,,1,8.72,,4.94
3.91,56,0,87.56,7.87,2.5,,2,4.13,high,5,4,5,5.95,F,4.19
,96.7%,2,69.65,9.84,4.81,2.51,,8.42,1,6.26,5,4,9.31,M,
7.93,59,10,91.42,9.91,2.03,4.67,5,5.2,low,5.27,5,2,4.08,female,6.7
7.15, 62.6 %,5,72.77,7.25,6.72,1.85,6,6.75,HIGH,3.67,3,3,7.31,Male,5.09
5.01,70,5,64.7,9.24,2.58,2.3,8,4.58,2,0.74,1,2,2.54,Male,4.68
3.46, 69.2 %,6,46.47,6.51,5.19,2.28,8,6.77,low,5.28,2,,9.06,Male,4
9.97, 89.7 %,10,63.6,6.86,1.88,2.96,,4.19,5,0.74,4,,3.23,M,5.6
, 72.8 %,10,84.04,5.82,7.85,3.13,7,7.84,5,2.43,2,5,9.54,F,
5.06,59,0,95.28,6.05,4.18,1.62,8,8.78,5,2.16,3,2,1.15,M,4
2.47,63.4%,6,55.1,8.28,6.76,4.07,10,5.53,Low,,,4,7.14,F,4
8.15,75,1,61.31,7.55,,2.73,7,5.29,low,2.31,2,4,2.35,Female,
7.24,,5,49.24,6.16,6,0.53,10,6.24,HIGH,5.38,1,4,7.94,M,4.04
2.99,81,7,81.44,7.01,,3.16,6,,5,1.2,1,,5.43,F,
1.74,78,4,97.61,6.87,1.7,4.09,5,4.94,1,5.92,3,3,9.19,male,4
7.12,86,,78.46,9.94,5.75,1.63,5,8.02,1,6.01,2,4,7.44,male,
6.89,,2,77.02,9.27,2.86,0.67,8,4.99,HIGH,3.44,3,2,7.91,Male,4.99
3.46, 95.6 %,10,73.21,6.94,6.5,4.13,,4.03,5,0.74,3,,2.08,Female,4
9.56,97,7,45.31,9.57,7.7,4.89,,6.62,5,4.03,3,5,1.87,F,5.07
2.36,62,7,83.77,6.71,7.31,0.84,,4.58,4,5.75,5,4,8.66,Female,4.12
